,name,match_code,stage_detail,base_points,total_points,cumulative_total_points,cumulative_avg_total_points,difference
171,Luke,M48,05. KO - Quarter Final,0,0,25,21.3,3.6999999999999993
172,Luke,M49,06. KO - Semi Final,0,0,25,23.1,1.8999999999999986
173,Luke,M50,06. KO - Semi Final,0,0,25,23.9,1.1000000000000014
174,Marc,M01,01. Groups - Matchday 1,1,2,2,1.6,0.3999999999999999
175,Marc,M03,01. Groups - Matchday 1,1,1,3,2.2,0.7999999999999998
176,Marc,M05,01. Groups - Matchday 1,1,1,4,3.9,0.10000000000000009
177,Marc,M08,01. Groups - Matchday 1,1,1,5,4.8,0.20000000000000018
178,Marc,M12,01. Groups - Matchday 1,0,0,5,6.2,-1.2000000000000002
179,Marc,M13,02. Groups - Matchday 2,0,0,5,6.2,-1.2000000000000002
180,Marc,M16,02. Groups - Matchday 2,1,1,6,6.8,-0.7999999999999998
181,Marc,M17,02. Groups - Matchday 2,0,0,6,6.9,-0.9000000000000004
182,Marc,M20,02. Groups - Matchday 2,0,0,6,7.1,-1.0999999999999996
183,Marc,M22,02. Groups - Matchday 2,0,0,6,8.8,-2.8000000000000007
184,Marc,M26,03. Groups - Matchday 3,0,0,6,9.3,-3.3000000000000007
185,Marc,M28,03. Groups - Matchday 3,1,1,7,10.0,-3.0
186,Marc,M30,03. Groups - Matchday 3,0,0,7,10.1,-3.0999999999999996
187,Marc,M31,03. Groups - Matchday 3,0,0,7,10.2,-3.1999999999999993
188,Marc,M36,03. Groups - Matchday 3,0,0,7,11.8,-4.800000000000001
189,Marc,M37,04. KO - Round of 16,1,1,8,14.1,-6.1
190,Marc,M38,04. KO - Round of 16,0,0,8,14.3,-6.300000000000001
191,Marc,M39,04. KO - Round of 16,1,1,9,15.7,-6.699999999999999
192,Marc,M40,04. KO - Round of 16,0,0,9,15.7,-6.699999999999999
193,Marc,M41,04. KO - Round of 16,0,0,9,15.7,-6.699999999999999
194,Marc,M42,04. KO - Round of 16,1,1,10,16.8,-6.800000000000001
195,Marc,M43,04. KO - Round of 16,0,0,10,17.2,-7.199999999999999
196,Marc,M44,04. KO - Round of 16,0,0,10,17.2,-7.199999999999999
197,Marc,M45,05. KO - Quarter Final,0,0,10,18.2,-8.2
198,Marc,M46,05. KO - Quarter Final,0,0,10,18.4,-8.399999999999999
199,Marc,M47,05. KO - Quarter Final,3,6,16,20.7,-4.699999999999999
200,Marc,M48,05. KO - Quarter Final,3,3,19,21.3,-2.3000000000000007
201,Marc,M49,06. KO - Semi Final,1,1,20,23.1,-3.1000000000000014
202,Marc,M50,06. KO - Semi Final,0,0,20,23.9,-3.8999999999999986
203,Peter Popular,M01,01. Groups - Matchday 1,1,2,2,1.6,0.3999999999999999
204,Peter Popular,M03,01. Groups - Matchday 1,1,1,3,2.2,0.7999999999999998
205,Peter Popular,M05,01. Groups - Matchday 1,1,1,4,3.9,0.10000000000000009
206,Peter Popular,M08,01. Groups - Matchday 1,1,1,5,4.8,0.20000000000000018
207,Peter Popular,M12,01. Groups - Matchday 1,1,1,6,6.2,-0.20000000000000018
208,Peter Popular,M13,02. Groups - Matchday 2,0,0,6,6.2,-0.20000000000000018
209,Peter Popular,M16,02. Groups - Matchday 2,1,1,7,6.8,0.20000000000000018
210,Peter Popular,M17,02. Groups - Matchday 2,0,0,7,6.9,0.09999999999999964
211,Peter Popular,M20,02. Groups - Matchday 2,0,0,7,7.1,-0.09999999999999964
212,Peter Popular,M22,02. Groups - Matchday 2,3,3,10,8.8,1.1999999999999993
213,Peter Popular,M26,03. Groups - Matchday 3,0,0,10,9.3,0.6999999999999993
214,Peter Popular,M28,03. Groups - Matchday 3,0,0,10,10.0,0.0
215,Peter Popular,M30,03. Groups - Matchday 3,0,0,10,10.1,-0.09999999999999964
216,Peter Popular,M31,03. Groups - Matchday 3,0,0,10,10.2,-0.1999999999999993
